name,position_desc
Android开发,"岗位职责：
1、客户端需求开发：负责腾讯视频TV端各业务场景客户端开发工作，包括业务逻辑开发，SDK开发等；
2、技术专项攻坚：承担客户端技术攻坚项目，挖掘业务难点，预研行业新技术，设计评审技术方案，推进业务技术难点的突破；
3、对外合作支持：负责外部合作厂商的技术支持，包括技术方案对接、技术咨询答疑等；
岗位要求：
1、本科及以上学历，计算机相关专业优先；
2、android开发经验；
3、熟悉android应用开发，熟悉android系统运行机制，对于APP性能优化有一定的理解；
4、深入理解面向对象设计，熟悉常用的设计模式，有扎实的编程功底和一定的架构能力；
5、熟悉Http/Socket工作原理，有网络数据传输优化经验优先
6、有激情，能担当，具备较强的分析和解决问题能力，善于沟通协作，注重经验沉淀；
7、有技术追求，有较宽的技术视野和良好的学习能力，能快速学习新技术。
职能类别：
移动开发工程师
微信分享"
,
Android开发,"职位描述：
1. 负责公司移动端APP产品的开发、维护和部署，不断提升用户体验和可用性；
2. 负责APP开发中的技术预研、难点攻关、框架设计等；
3. 和团队伙伴一起研讨技术实现方案，进行应用及系统整合；


任职要求：
1. 有3年及以上的Android移动前端软件开发经验；
2. 熟练使用Git进行项目代码管理；
3. 具有良好的计算机以及软件开发基础知识, 计算机相关专业优先；
4. 熟悉Android原生开发涉及的组件及技术, 如UI渲染原理、网络通信、广播、多线程、图像加载、音视频等；
5. 积极乐观，责任心强，创新思维能力强，有良好的团队合作跟沟通能力；
6. 有较好的学习能力和沟通能力，有创新能力和责任感，对移动端产品有浓厚的兴趣，向鸿蒙转型；
职能类别：
Android开发工程师
关键字：
开发软件开发app开发android安卓开发android开发
微信分享"
,
Android开发,"安卓软件工程师 瑞芯微/MTK/Amlogic/海思 任一 安卓系统 应用层方向：
岗位职责：
主要负责Applications层相关的安卓软件维护及开发，比如UI Launcher、Settings APK及其他应用层相关软件开发和维护；

任职要求：
1、计算机、电子、自动化等专业，本科以上学历；
2、熟练Java编程，了解C语言编程；
3、熟悉Android系统Applications层，了解Framework层架构，2年以上安卓应用层软件开发经验；
4、具备RK之机顶盒/网络播放盒/平板、海思/MTK(Mstar)或Amlogic 之TV或商显开发经验 任一即可。
5、工作踏实，勤奋好学，能独立的分析和解决问题，有团队合作意识。

固定月薪制，有奖金，社保，春节有两周左右的带薪假期。

公司地址：深圳市宝安区西乡宝田三路宝田工业区56栋B二楼东
靠近西乡桃源居，在平栾山公园宝田三路入口附近。
联系电话：13609623230

职能类别：
软件工程师
关键字：
安卓开发android开发软件开发软件工程师
微信分享"
,
Android开发,"岗位职责:
  1、负责Android客户端软件（即时通讯）的设计和开发；
  2、参与软件需求分析，进行模块概要设计，模块详细设计，代码编写，单元测试等工作；
  3、参与移动平台软件框架的研究，设计和实现、关键技术验证和选型等工作；
  4、负责APP的重构和优化工作；
  任职资格：
  1、本科及以上学历，Android应用软件开发3年以上经验，2年以上即时通讯软件相关经验；
  2、掌握sip协议或PJSIP；具备丰富的移动APP架构设计和框架搭建经验；
  3、热爱IM，对IM开发有极大的兴趣，有责任心，工作有激情；有相关成功的移动互联网产品经验优先考虑；
  4、有主导完成优秀应用或大型Android SDK项目开发经验者优先;

职能类别：
软件工程师高级软件工程师
关键字：
Android安卓软件开发
微信分享"
,
Android开发,"岗位职责:
1. 根据产品需求完成 Android 客户端软件设计、编码、测试等工作
2. 对客户Android应用开发做技术支持；
3. 持续优化产品的质量、性能和用户体验
任职要求：
1. 本科及以上学历，计算机/通信等相关专业，1年以上工作经验；
2. 有扎实的Java语言基础；
3. 熟悉Android SDK，框架及各种特性，熟悉面向对象编程，理解设计模式；
4. 熟悉网络编程，熟悉TCP/UDP/HTTP协议，熟练使用各种网络通讯框架；
5. 熟悉Android的线程机制，能够熟练使用各种Android系统的线程类，及service、广播等；
6. 有独立APP项目上线经验优先；
7. 有视频通话，WebRTC开发经验者优先；

职能类别：
软件工程师高级软件工程师
关键字：
安卓app应用网络编程视频通话
微信分享"
,
