name,position_desc
Web前端开发工程师,岗位职责：1、负责根据用户需求，编写代码，并做调试运行。2、负责根据用户需求、对代码进行修复。3、部分需要写文字说明，方便用户理解。任职资格1、本科及以上学历、专业不限、理工背景优先。2、有较好的文字功底，具备上网搜索资料的能力。3、熟练掌握office、word等办公软件。
客户端开发工程师（Android，Ios，前端）,职位要求：1、2022届重点大学***本科以上学历，计算机或者相关专业；2、热爱计算机科学和互联网技术，对移动互联网产品兴趣浓厚；3、精通至少一门编程语言，包括但不限于：Java、Objective-C、Swift；4、敢于尝试和挑战新技术，优秀的主动分析和问题解决能力。
前端开发工程师,1、负责网页端、移动端页面开发需求，及性能优化。2、与UI设计、产品经理、后端研发紧密工作，产出高质量前端页面；3、程序模块开发，处理浏览器兼容、优化页面性能；4、独立完成页面开发交互，前后端分离实现项目开发，独立上线；浙江省杭州市余杭区点击查看地图
系统开发工程师（前端）,岗位职责：1、负责智慧工厂系统的前端设计、开发工作；2、根据需要参与需求分析、系统前端框架设计、功能页面设计等；3、持续改善产品质量、性能，提升用户使用体验；4、根据项目任务计划完成相关测试、联调、部署等，以保证项目顺利交付上线。岗位要求：1.本科及以上学历，计算机或通信相关专业；2.熟悉HTML+CSS、JavaScript编程语言、有实习经历、对外项目经验的优先；3.熟悉软件原型设计工具，有产品思维，能将需求转化为可视化原型界面；5.良好的分析问题、解决问题能力、语言表达能力和组织协调能力。
web前端开发工程师,职责描述1、根据产品设计，利用HTML5相关技术开发web端、移动端等多平台应用。2、负责产品相关需求的实现及解决方案的提出，提供合理的前端架构。3、参与公司内部组件库的开发与维护，编写可服用的用户界面及代码。技能要求1、熟悉使用CSS3，熟悉使用flex、grid进行布局。2、熟悉HTML5，了解和使用过canvas和svg相关的技术。3、熟悉JavaScript，熟悉面向对象编程，熟悉ES6，熟悉原型链及作用域。4、熟悉vue框架及vue-router、vuex等相关技术。5、熟悉ElementUI、Vant等UI框架。内蒙古自治区包头市稀土开发区软件园大厦D511-12-13点击查看地图其他职位
前端开发工程师,广州市天河区林和东路285号36-39楼点击查看地图
Web前端开发工程师+周末双休,"岗位职责：1、负责根据产品原型、设计稿实现页面静态化切片工作2、负责协同移动端、PC端前端、H5前端架构设计及开发工作；3、利用Html5相关技术开发移动端平台的前端应用，实现各种交互效果；4、持续的优化前端体验和页面响应速度，并保证兼容性和执行效率；5、参与项目需求分析；前端技术架构的选择和搭建,与后台工程师协作，完成前后端数据交互。6、负责前端技术调研和积累，了解最新的前端发展技术，并能应用到实际开发工作中。岗位要求：1、大专及以上学历，计算机相关专业，2-3年以上工作经验；2、精通html5、css3、JavaScript等新功能，熟悉页面架构和布局、模块分离设计经验，掌握PC、Android、IOS不同平台的html5页面的适配；3、理解并掌握JavaScript语言核心技术DOM、BOM、Ajax、JSON等，对javascript框架应用有一定的经验，熟悉响应式网页设计（如jQueryMobile,AngularJS,Bootstrap等）,熟悉一种JavascriptUI框架；4、能够熟练运用JQuery和MVVM框架,能熟练使用一种JQuery相关的UI框架,如JQueryUI或EasyUI等,能使用ReactJS或VueJS等MVVM框架优先；5、思维严密，有良好的沟通能力和团队合作意识，工作责任心强，具备创新精神。工作时间：9：00—18:30中午休息一个小时，周末双休"
前端开发工程师,运用互联网+、云平台、物联网、大数据、精益生产、RFID等技术，JEE将信息技术与制造业深度融合，为企业智能制造、数字化工厂提供综合全方位的解决方案，为实现工业互联而不懈努力。欢迎海内外各位同学加入！岗位职责：负责公司工业互联前端开发等相关工作任职资格：1.本科及以上学历（本科、硕士、博士），工计算机科学与技术/软件工程/软件技术/信息管理与信息系统/工业工程相关专业2.在校成绩良好、综合素质优秀；3.无违纪记录、专业课无挂科；4.优秀者***。
前端开发工程师,"职位描述：1、负责移动端和桌面端前端页面开发、调优2、完成项目需求，高质量的还原产品交互设计职位要求：1、灵活掌握运用基础HTML/CSS/JS/TS语法和常用技术,对相关技术标准有一定的理解2、熟练掌握git版本管理工具3、深刻理解web标准,了解不同浏览器之间的差异,做好各大主浏览器间的兼容性4、性格开朗,具有亲和力,工作态度严谨,具有很好的团队合作能力5、熟悉Vue/React/Angular至少一种框架如果您具备以下资格,我们会优先考虑1、熟练掌握Vue框架,熟练使用Vue的API,了解Vue相关生态,能够利用Typescript构建Vue项目,熟悉@vue/cli2、能快速搭建页面,有模块化、组件化思想3、掌握Webpack或Rollup等前端自动构建化工具,实现开发流程自动化4、有可视化相关开发经验5、熟练掌握nodejs6、有cordova,ionic,小程序等移动端开发经验或有跨终端前端开发能力7、有实际项目经验或参与前端框架/组件库开发浙江省杭州市西园一路18号西湖广告大厦7楼点击查看地图"
前端开发工程师,"职位描述：1、负责移动端和桌面端前端页面开发、调优2、完成项目需求，高质量的还原产品交互设计职位要求：1、灵活掌握运用基础HTML/CSS/JS/TS语法和常用技术,对相关技术标准有一定的理解2、熟练掌握git版本管理工具3、深刻理解web标准,了解不同浏览器之间的差异,做好各大主浏览器间的兼容性4、性格开朗,具有亲和力,工作态度严谨,具有很好的团队合作能力5、熟悉Vue/React/Angular至少一种框架如果您具备以下资格,我们会优先考虑1、熟练掌握Vue框架,熟练使用Vue的API,了解Vue相关生态,能够利用Typescript构建Vue项目,熟悉@vue/cli2、能快速搭建页面,有模块化、组件化思想3、掌握Webpack或Rollup等前端自动构建化工具,实现开发流程自动化4、有可视化相关开发经验5、熟练掌握nodejs6、有cordova,ionic,小程序等移动端开发经验或有跨终端前端开发能力7、有实际项目经验或参与前端框架/组件库开发浙江省杭州市西园一路18号西湖广告大厦7楼"
