name,position_desc
运维工程师,"岗位职责：1、参与设计、审核、优化公司IT系统以及各应用系统的体系架构；2、根据业务应用和安全漏动情况制定系统安全加固计划、相应业务部门的系统扩容需求与资源落实需求，配合开发、测试、调整系统平台；3、linux服务器的网络设置、维护和优化、网络的安全监控、系统性能管理和优化；4、对linux服务系统的用户帐户、应用账户进行统一管理以及权限分配、审计，做好变更记录；5、负责相关系统故障、疑难问题排查处理。6、负责系统各种资源的监控和应急反应，以确保系统有7*24小时的持续运作能力。7、熟悉相关网络安全产品，如：防火墙、IDS、IPS、主流漏洞评估工具等；8、负责日常系统维护，及监控，提供IT软硬件方面的服务和支持，保证系统的稳定。9、能够处理日常办公设备及OA系统的问题处理解决。10、能够很好的沟通协调各部门及服务厂商的各项工作推进。
任职资格：1、本科以上学历，计算机相关专业；2、熟悉tcp/ip协议，对LINUX系统的配置与管理有较深入的研究；3、熟悉相关网络安全产品，配置过交换机、路由器、防火墙等网络产品。4、有IDC机房设备或者X86系统设备等一定运维经验。5、具备较强的抗压能力，积极好学。
职能类别：
网络工程师(IT工程师)
微信分享"
运维工程师,"一、岗位职责：
1.负责站点、仪器的巡检，数据的记录整理；
2.负责收集、汇总设备运行中出现的技术问题；
3.负责自动监测现场运维工作，确保安装站点的正常运行，及时汇报异常情况，解决突发状况；
4.负责废气、废水污染源、空气质量、地表水在线监测系统的安装、调试、日常维护（添加试剂，损耗件更换等）、异常情况处理等工作，主要工作地点在奉贤区、松江区、闵行区、金山区、浦东临港；
二、岗位要求：
1.环境工程、仪器仪表、化学、自动化相关专业专科及以上文化程度（计算机专业勿投谢谢）；
1.了解COD、TOC、氨氮、总磷总氮、水质五参数、重金属等线监测仪器设备的原理和使用方法优先；
2.了解烟气监测、大气监测、污水、地表水等领域中在线分析仪表及实验室仪器的应用，具备独立操作经验优先；
3.有从事相关或相关管理工作经验1年以上者优先考虑、需持有C1驾驶证者；
4.具有良好的沟通能力和团队合作精神，能够适应加班并能承受工作压力；
5.身体健康、工作热情、爱岗敬业、责任心强，能够服从公司安排。
6.公司免费提供员工宿舍。
职能类别：
自动化运维工程师
关键字：
环保运维运维工程师环境
微信分享"
运维工程师,"岗位职责：
-负责业务系统日常例行检查、故障响应等；
-负责业务系统升级，以及流程优化等；
-负责业务系统监控、日志等分析以及优化；
-负责与其他业务系统对接、集成相关工作。

任职要求：
1、专科及以上学历，专业不限。有无硬件开发经验亦可，学习能力强，有责任心；
2、表达能力强，逻辑思维清晰；
3、有较强的团队合作意识，有志于从事IT行业并长期发展；

福利待遇：
1、签订正式劳动合同，缴纳五险一金；
2、享受带薪年假、法定节假日、员工旅游、拓展活动、员工生日会等；
3、工作氛围舒心，人性化管理；

周末双休，法定节假日正常休息
职能类别：
技术支持/维护工程师
关键字：
运维技术支持it计算机网络维护系统系统工程师软件测试硬件
微信分享"
运维工程师,"工作内容：
1、公司电脑、设备维护、保养；
2、相关系统及办公软件安装、检测等；
任职要求：
1、年龄25-40岁，大专及以上学历，计算机等相关专业；
2、熟悉办公软件及生产行业办公系统；
3、熟悉电脑、打印机等电子设备安装、维修等；

职能类别：
运维工程师
微信分享"
运维工程师,"岗位信息：
1.网络基础架构和运维体系的建设和优化，负责规划和分配网络设备资源；
2.数据中心网络平台，园区网络平台的日常配置和维护；
3.各类运营商线路接入的配置和管理；
4.对网络设备日常监控、维护、优化、加固及应急反应，保证系统稳定持续运行；
5.IT类固定资产的日常管理、维护；


任职要求：
1.计算机相关专业大专毕业
2.两年以上运维经验，熟悉运维流程，能熟练应对故障、应急事件的处理
3.熟悉华为网络设备，华为网络啊暖设备，具备日志分析及网络管理、安全监控等经验
4.深入理解Linux操作系统，熟悉操作系统运维管理
5.熟悉VMWare，Microsoft虚拟化操作系统
6.熟悉TCP/IP协议，熟悉防火墙、VPN、DHCP等网络技术


公司福利：
1、五险一金
2、团建旅游
3、季度绩效奖金
4、公司地点位于车公庙地铁站附近，交通方便
5、公司氛围轻松，团队人员团结，无内部斗争
职能类别：
运维工程师
关键字：
运维维护网络工程师网络
微信分享"
运维工程师,"岗位要求：
1、计算机专业（软件、硬件均可）
2、负责电脑软件、硬件的故障排除和维修
3、负责客户计算机系统的安装、软件调试
4、负责各种服务器系统的安装、调试、服务的故障判断和维修
5、负责公司网络架构、安全管理等要求
6、熟悉各种软件的调试与维护
7、有计算机专业相关证书优先
你将获得：
1、按国家要求为正式员工缴纳五险一金；
2、带薪年假、年底双薪，工作满一年享受带薪年假5天；
3、中餐津贴、交通津贴、有男员工宿舍；
4、每年根据公司及本人业绩核算年终奖；
5、每年高温月发放高温补贴；
6、节日卡券、生日券；
7、每年安排1-2次长短线旅游活动；
8、团建活动、趣味运动会等丰富多彩员工活动；
9、提供各种专业培训机会，学习型组织，鼓励员工自我提升。
职能类别：
运维工程师
微信分享"
运维工程师,"岗位职责：
1、作为核心力量完成网站大型应用项目的架构设计、上下线、维护、故障及相应需求处理。
2、对运维规范和知识库进行优化升级。
3、架构和设计DevOps平台工具链产品，提出解决方案，推进相关产品的落地。
4、负责运维自动化平台相关技术研究、方案设计及开发实现。

岗位要求：
1、计算机及相关专业，3年以上运维工作经验；
2、熟悉主流的系统、网络架构，并能灵活应用；熟练掌握Linux系统的操作，熟悉网络和硬件基础知识；
3、熟悉nginx、mysql、redis、rabbitmq等常用应用平台的配置和调优；
4、对自动化、流程化运维、devops建设有一定理解；
5、熟悉Docker、k8s等容器相关技术，熟悉SpringCloud相关配置；
6、熟悉并使用过jenkins、maven、git等工具，并能够利用其搭建自动化构建及部署系统，实现持续集成；
7、熟悉ELK等日志收集工具，具有独立部署日志收集、分析及图表输出系统的运维经验；
8、熟悉主流公有云的相关使用和管理；
9、具备较强技术敏感性和规划能力，能主动推进新技术的合理应用；
10、有较强的沟通能力、高度的责任心和良好的团队合作精神。
职能类别：
运维工程师
关键字：
运维维护运维工程师
微信分享"
运维工程师,"岗位职责：

1、负责在线系统的运维；
2、协助客户查询系统日志；
3、协助客户查询数据库数据；
4、根据运维手册，解决常见故障；
5、出现不能解决的问题，通知项目负责人解决问题，并协助处理；


任职要求：

1、1年以上linux运维经验，以毕业年限为准（会查验学历，***大专及以上）；
2、具备一定的网络、操作系统、软件等基础知识；熟悉华为、华三主流路由器和交换机等网络设备配置与部署；
3、熟悉sql常用语法；
4、具有独立解决问题的能力，处理问题逻辑清晰；
5、能适应短期出差，具有较强的抗压能力，服从公司安排；
6、频繁更换工作，请勿投简历，谢谢。
职能类别：
运维工程师
关键字：
运维技术支持运维工程师linux信息安全网络服务器IT支持
微信分享"
运维工程师,"高级运维工程师
工作要求：
1、自动化监控（有安装、实施、运行监控过100台服务器经验以上）
2、自动化运维（能批量更新、快速恢复线上系统）
3、orale数据库问题处理
4、有一定的文档编辑能力（自行撰写运维日志、运维周报，系统更新文档）
需具备的技能：
1、熟练操作linux系统，熟练安装工具包，
2、会独立安装、调试虚拟化软件
3、LNMP、FTP、DNS、email、DHCP部署安装
4、会搭建zabbix、zookeeper、keepalive、ansible、saltstack等工具
5、精通linuxshell脚本，熟练python脚本编程，熟练开发日常运维需求工具
6、熟练使用抓包工具，具备网络分析能力
7、熟练设置fireware、iptables
岗位要求：
1、具备高度责任心
2、工作上踏实、仔细认真
3、具有不断进取、学习的能力
4、具备突击性事件下的加班抗压能力。
待遇：
月薪：13k-15K/月
工作时间：
按国家规定节假日休息。
面试要求：
不透露敏感信息条件下，提前准备1~2项参与过的自动化部署及监控项目情况介绍。


职能类别：
运维工程师
关键字：
运维
微信分享"
运维工程师,"岗位职责：
1、负责业务系统的配置、部署、管理和发布工作；
2、负责监控环境的部署优化、服务器环境优化配置和调试；
3、为开发、测试部门提供相关的运维支待工作；
4、能够及时响应客户，处理异常情况，为客户快速有效解决问题；
5、对公检法客户进行用户培训，软件演示与讲解。

任职要求
1、本科或以上计算机或相关专业学历，2年及以上计算机软件系统的安装、培训和维护经验；
2、熟练掌握Mysql数据库、Windows及Linux服务器操作系统的安装、管理和维护；
3、熟练掌握TomCat、nginx、redis、mq等中间应用服务器的安装部署和参数配置；
4、熟悉grafana、zabbix等运维监控系统
4、年龄在35周岁以下，能适应项目需要的出差安排；
5、有公检法相关政府行业软件运维工作经验的优先
福利待遇：
1、周末双休，让您有充足的时间陪伴家人，节日福利，享国家法定节假日；
2、入职即购买社会保险（养老、医疗、工伤、失业、生育）；
3、入职员工根据公司相关规定缴纳住房公积金；
4、婚假、丧假、产假、护理假：凡是公司正式员工均可享受带薪假期；
5、培训：公司会根据公司发展需求组织员工培训；
6、端午节、中秋节等传统节日礼品发放；
7、享受中餐补贴及话费补贴；
8、平等广阔的晋升空间；
9、开放和谐的工作氛围，舒适便利的工作环境。
我们真诚的期待您的到来！并预祝您以后的工作生活愉快！
职能类别：
运维/技术支持
关键字：
运维
微信分享"
