job_name,salary,address,company_name,position_desc
Java实习生,面议,湖北省,招银云创（脉聘）-招银云创（脉聘）,",1、参与系统后台服务的设计和开发；  ,2、对设定的功能进行系统设计、编码、单元测试以及开发文档编写；3、配合进行产品测试和验收工作，组织软件系统的安装调试；  ,4、参与软件模块的代码正规检视、设计文档正规检视、设计评审等质量保证活动；  ,5、维护优化现有应用及日常故障处理。    ,  ,1、掌握Java开发语言，熟悉常用框架（如SSM、Quartz等框架），掌握基本的多线程、IO、数据库操作技能，掌握JavaEE技术，熟悉Tomcat、Jetty、JBoss其中一种的应用服务器安装、调试、配置及使用；  ,2、了解JVM的类加载、GC等机制优先。  ,3、熟悉TCP/IP和HTTP等协议；  ,4、熟练使用Oracle、DB2、MySQL的其中一种数据库，并掌握相应的数据库编程技术；  ,5、对技术有追求，有学习新技术的途径与习惯；  ,6、逻辑能力强，良好的职业素养，较好的沟通能力与技术学习能力，具有团队合作精神，充满工作热情，人品正直诚实，能承受工作压力。"
智慧节能-JAVA开发（大数据开发方向、功能模块开发方向）,5000-10000,北京,中国核工业集团有限公司-同方股份有限公司,"岗位职责： ,（大数据开发方向） ,1. 负责Java应用、Hadoop大数据项目的需求调研、概要设计、详细设计、编码及测试工作； ,2. 与其他成员配合完成数据采集、数据处理、数据分析、图形化展示、报表输出等工作； ,3. 完成领导交给的其他工作。 ,（功能模块开发方向） ,1. 根据开发计划，定制功能模块的开发计划； ,2. 按计划完成功能模块的功能设计、代码实现，编写代码测试单元，并提交测试人员进行功能测试； ,3. 根据测试人员发现的问题，完成功能模块的BUG修复； ,4. 开发模块符合概要设计规范，并编写详细设计说明书； ,5. 为实施人员提供技术支持，解决项目实施过程中遇到的技术问题。 ,任职要求： ,1. 本科及以上学历，计算机及其相关专业； ,2. 熟悉Java语言,具备良好的编程风格,了解其它编程语言优先； ,3. 熟悉软件工程的各个环节：需求调研、概要设计、详细设计、编码、测试、实施；,4. 精通Java EE技术，熟悉Sprint  Boot或Spring+SpringMVC+MyBatis、Hibernate、JSF框架等主流框架； ,5. 精通Oracle、MySQL、DB2等关系型数据库技术，对存储过程有一定了解； ,6. 精通Hadoop环境的搭建、维护，以及常用组件的使用，如：Spark/Spark-Streaming/Beam等； ,7. 有数据中台、了解微服务开发理念、实现技术优先； ,8. 有地理信息及地理三维工作经验优先； ,9. 熟悉Unix、Linux系统，熟悉Shell、Perl等脚本语言。"
JAVA开发工程师,面议,贵州省-贵阳,中国航天科工集团贵州航天技术研究院-贵州航天智慧农业有限公司,"岗位职责,1.完成软件系统代码的实现，编写代码注释和开发文档； ,2.辅助进行系统的功能定义,程序设计； ,3.根据设计文档或需求说明完成代码编写，调试，测试和维护； ,4.分析并解决软件开发过程中的问题； ,5.协助测试工程师制定测试计划，定位发现的问题； ,6.配合项目经理完成相关任务目标； ,7.完成领导安排的其他工作。,岗位要求,1.本科以上学历，具有三年以上JAVA开发工作经验； ,2.精通JAVA语言编程，有扎实的基础知识，对面向对象编程有较深的意识和理解； ,3.熟悉J2EE架构、SpringBoot、SpringCloud、Hibernate、Mybatis和基于MVC的开发模式；熟练使用IDEA、Eclipse等开发工具； ,4.熟悉tomcat、weblogic、websphere、jboss；熟悉linux系统、Mysql或Oacle等关系型数据库； ,5.熟悉Soket、Tcp/Ip开发； ,6.熟悉redis、kafka、rocketmq中的至少一种。"
JAVA开发工程师,面议,四川省-成都,中国电子科技网络信息安全有限公司-中国网安总部及三十所,"职责描述：  ,1.负责应用软件模块的设计、需求分析、开发、技术文档编写；  ,2.负责完成功能模块的单元测试；  ,3.负责与软件外包团队的需求对接、进度检查、项目管理。  ,任职要求：  ,1.本科及以上学历，计算机、软件等相关专业；  ,2.熟练运用Java开发语言，有spring boot、spring cloud、SSM等框架运用经验；  ,3.具备Css、javaScript等前端开发、Go语言和node.js的开发能力；  ,4.熟悉TCP/IP通信协议、P2P协议、分布式存储系统的基本原理；  ,5.具有较强的调试和解决问题的能力；  ,6.具有良好的沟通能力和团队合作精神。"
Java开发工程师（武汉）,面议,湖北省-武汉,中华英才网云招聘-招银云创,",1、参与系统后台服务的设计和开发； ,2、对设定的功能进行系统设计、编码、单元测试以及开发文档编写； ,3、配合进行产品测试和验收工作，组织软件系统的安装调试； ,4、参与软件模块的代码正规检视、设计文档正规检视、设计评审等质量保证活动； ,5、维护优化现有应用及日常故障处理。 ,  ,1、2021/2020届统招全日制本科毕业，计算机相关专业； ,2、Java语言基础扎实，对面向对象和J2EE有较清晰的认识，熟悉主流Java Web框架，熟悉各种常用设计模式； ,3、熟练掌握SQL语言，熟悉MySQL, Oracle等关系型数据库，熟悉linux操作系统； ,4、热爱软件开发，沟通能力好、学习能力强、工作踏实、积极主动，有团队合作精神； ,5、加分项：在校成绩优异、有大企业java实习经验、熟悉web前端技术、熟悉python/C++/GO、可实习。"
Java开发工程师（武汉）,面议,湖北省-武汉,上海宝尊电子商务有限公司（脉聘）-招银云创,",1、参与系统后台服务的设计和开发；  ,2、对设定的功能进行系统设计、编码、单元测试以及开发文档编写；  ,3、配合进行产品测试和验收工作，组织软件系统的安装调试；  ,4、参与软件模块的代码正规检视、设计文档正规检视、设计评审等质量保证活动；  ,5、维护优化现有应用及日常故障处理。  ,  ,1、2021/2020届统招全日制本科毕业，计算机相关专业；  ,2、Java语言基础扎实，对面向对象和J2EE有较清晰的认识，熟悉主流Java Web框架，熟悉各种常用设计模式；  ,3、熟练掌握SQL语言，熟悉MySQL, Oracle等关系型数据库，熟悉linux操作系统；  ,4、热爱软件开发，沟通能力好、学习能力强、工作踏实、积极主动，有团队合作精神；  ,5、加分项：在校成绩优异、有大企业java实习经验、熟悉web前端技术、熟悉python/C++/GO、可实习。,注：面试为线下面试，预计在3月20日左右"
java开发工程师,面议,山西省,大同人社局-北京大豪科技股份有限公司,
初级Java开发,面议,北京,北京市人才服务中心-北京启元资本市场发展服务有限公司,1、参与项目开发工作，包括业务开发和平台开发。 职位要求：  1、本科学历以上，计算机相关专业，2021应届毕业生。  2、具有扎实的计算机科学基础知识。  3、掌握Java面向对象设计开发技术以及MySQL数据库使用。  4、具有良好的沟通能力。  5、具有优秀的学习能力，踏实肯干。  6、有Java后端项目经验者优先。
高级软件研发工程师（Java方向）,面议,北京 四川省-成都,中电科网络空间安全研究院有限公司-中电科网络空间安全研究院有限公司,"职责描述：,1.负责模块软件设计； ,2.负责相关项目功能模块的编程实现； ,3.完成功能模块的单元测试； ,4.配合完成项目的集成测试和系统测试。,岗位要求：,1.电子、通信等相关专业； ,2.通信与信息系统、信号处理、测向等相关专业，掌握数字信号处理、模/数电、通信原理、软件工程、软件无线电等课程知识； ,3.熟练掌握信号处理等基础知识，具有一定的独立设计信号处理能力，从事测向和定位等算法研究、设计者优先； ,4.掌握MATLAB、DSP、FPGA、VC等开发语言优先；  ,5.责任心强，能吃苦耐劳；创新性强。"
