keyword,position_desc
python,"任职要求：
1、熟练运用python的开发框架，Django、Flask等；
2、了解基本数据库的运用，MySQL、MongoDB等；
3、英语口语流利优先；
4、有工业开发项目实际落地经验优先；
5、有工业算法建模经验优先；

工作内容：开发数字化、可视化系统支撑以提高工业产品的生产质量与效率；
工作时间：上午8:00-12:00，下午1:30-5:30，
试用期8~15k，后续视转正绩效评级而加薪。
职能类别：
Python开发工程师
关键字：
django开发工程师python软件开发后端开发
微信分享"
,
python,"1、熟练掌握 Python 语言，熟悉django\ flask等编程框架；
2、熟悉 Linux 开发环境；
3、熟悉使用 Mysql，redis，mongdb 等数据库；
4、熟悉网络编程，掌握TCP、UDP和HTTP等通讯协议；
5、能按照项目计划，按时提交高质量的代码，完成开发任务；
职能类别：
Python开发工程师
关键字：
python软件开发软件工程师django开发开发工程师工程师
微信分享"
,
python,"岗位职责：
1.   负责各类出版物数据（XML、排版文件）、网络资源数据的采集、清洗、整合；
2.   负责出版数据类产品的系统分析与架构设计，配合产品经理完成产品的快速研发与交付；
3.   负责出版数据类产品的系统各组件的性能优化工作和部分设计、开发文档的编写工作；
4.   负责出版数据类项目的开发、维护等工作；
5.   参与业务数据、生产日志的抽取、转储、检索等相关工作；
6.   参与大数据分布式应用系统服务器端或客户端软件开发工作（需求开发、故障解决和性能优化等）；
7.   跟进大数据前沿技术的发展，将合适的技术方案适时引入业务场景。
8.   使用人工智能、自然语义分析、深度学习等技术完成项目开发。

任职资格：
1.   三十岁以下，大学本科以上学历，信息管理或计算机相关专业；
2.   两年以上相关工作经验，有较好的学习能力。
3.  精通Java或python语言，熟悉TensorFlow，Caffe（2），PyTorch和Deeplearning4j至少一种主流框架；
4.   有较强的软件开发功底，能按时并高效完成既定计划；
5.   具有良好的职业素质，忠诚可靠、诚信守法；
6.   具有良好的沟通能力，能友好的与他人团队合作共事；
7.   具有良好的攻关能力和创新能力，思维敏捷，精力充沛。
8.   具有人工智能、NLP，深度学习一个或多个领域开发并解决实际问题的经验。

职能类别：
自然语言处理(NLP)
关键字：
javapython数据库数据分析
微信分享"
,
python,"职责描述：
1、负责开发新爬虫和优化现有的爬虫；
2、负责网页信息抓取结果的抽取、数据清洗、分类、聚类等研发工作；
3、负责爬虫平台系统的架构设计与开发以及爬虫核心算法的策略优化研究；
4、负责跟进平台数据整理及图示化；
任职要求：
1、本科及以上学历，数据精通网页抓取原理及技术；
2、对反爬虫策略，验证码破解等有一定的经验；
3、熟悉Mysql数据库开发，熟悉MongoDB、redis；
4、熟悉html、css、js。
职能类别：
爬虫开发工程师
关键字：
爬虫
微信分享"
,
python,"  职位信息
1、负责自动化运维平台研发，设计并开发持续交付、资产管理、系统监控告警等自动化运维平台；
2、负责运维平台和相关运维工具的开发
3、提高自动化运维水平、故障响应能力、提升迭代效率、降低运维人力成本；
4、运维相关的新技术的研究；
5、独立承担开发任务，主导需求的开发，修改，调试，外部配合，发布上线等工作;

岗位要求：
1、本科以上学历，有3年以上开发工作经验，有项目管理工作经验者优先
2、精通Python开发，了解docker，k8s
3、熟悉Linux平台环境的开发，掌握Linux常用命令，熟悉bash及其余SHELL脚本的编写
4、对新技术有强烈的探索欲望，责任心强，善于团队合作与管理
5、有优秀的系统设计和架构的意识，熟悉常用的运维系统的设计原则，熟悉软件设计模式和软件工程；
6、有大数据分析、机器学习的兴趣或经验更佳  
职能类别：
软件工程师
微信分享"
,
python,"工作职责:
1、深入熟悉公司各产品业务流程，根据业务数据分析需求，编写代码；
2、处理各类数据的提取、标注、建模、清洗、统计和分析等相关业务；
3、根据当前的数据分析结果，深入挖掘潜在的业务漏洞、数据关系等，提供有价值的决策信息和创新意见。

任职资格:
1、本科及以上学历，计算机相关专业，3年以上Python开发经验；
2、熟悉Django、Shell脚本，具备常用算法、统计学和数据分析基础，有一定建模能力、信息搜索能力；
3、熟悉MySQL、MongoDB、Redis、ElasticSearch等主流数据库；
4、有过大数据、ELT处理、网络爬虫、机器学习相关开发经验优先；
5、掌握Kafka\RabbitMQ\MQTT等消息队列；
6、有docker\k8s\linux的使用经验；
7、熟悉常见的BI工具优先；
8、学习能力强，具备较强的逻辑分析能力和独立解决复杂问题的能力；善于沟通和团队协作，有高度的责任心和敬业精神。
职能类别：
Python开发工程师
关键字：
Python
微信分享"
,
python,"岗位要求：
1、根据项目具体要求，能独立完成开发任务，并和其他开发人员共同完成子任务；
2、根据业务需求从事产品后台模块的设计和实现；
3、参与系统的稳定性，拓展性及相关优化调试工作；
4、熟练掌握Python开发，熟悉Linux环境下软件开发和调试；
5、熟练掌握Python Web服务开发（Sanic，Django）；
6、熟练掌握Docker，docker-compose；
7、掌握MySQL，MongoDB，Redis；
8、熟悉数据结构，算法设计，有扎实的编程基础和良好的编程习惯，具备一定分析和解决问题的能力。
其他：
1、早9晚6，大小周，周末加班可调休，餐补300元/月, 提供住宿，有班车，加班少

2、会员网站管理系统
福利待遇：
1、交通便利，地铁9号线----梦海站
2、入职即缴纳五险一金；
3、各类带薪休假（法定假日、年假、婚假、病假、陪产假等）；
4、丰富的团建活动；
5、年底双薪；
6、项目长期、稳定，团队技术氛围浓厚，发展空间大，只要您有能力，一切皆有可能。
职能类别：
Python开发工程师
关键字：
PythonDockerLinuxpython
微信分享"
,
